orderId,actualBoxId,actualUtilization,algorithmBoxId,algorithmUtilization,status
"TSHE2026030200056468","LOREAL01H",0.0965883970,"C0000001H",0.1745409150,"OK"
"TSHE2026030500076361","LOREAL03H",0.1293333333,"LOREAL02L",0.3132919255,"OK"
"TSHD2026030600073403","LRLC0003W",0.2459862664,"LOREAL01G",0.4125394676,"OK"
"TSHD2026022500045002","LOREAL04H",0.3848961399,"C0000006H",0.5560627943,"OK"
"TSHD2026022500045352","LOREAL04H",0.4437812757,"LOREAL03G",0.6912746795,"OK"
"TSHD2026030300070541","LRLC0003W",0.2170341615,"LOREAL01G",0.3639843750,"OK"
"TSHD2026030800100221","LRLC0003W",0.5638212560,"LOREAL02L",0.6342989130,"OK"
"TSHD2026030900041285","LOREAL01H",0.2896412037,"C0000001H",0.5233986928,"OK"
"TSHD2026031000002873","LOREAL03H",0.1983844151,"LOREAL17H",0.3132385501,"OK"
"TSHD2026030900084624","LOREAL04H",0.4405183128,"C0000006H",0.6364206302,"OK"
"TSHD2026022600109168","LOREAL03H",0.1314922772,"LOREAL01G",0.4748332234,"OK"
"TSHD2026022500045156","LOREAL04H",0.3327413333,"LOREAL03G",0.5183086154,"OK"
"TSHD2026030900009463","LOREAL03H",0.1314922772,"LOREAL01G",0.4748332234,"OK"
"TSHE2026030500178477","C0000011W",0.4994350890,"C0000011W",0.4994350890,"OK"
"TSHD2026030100083257","LRLC0003W",0.1653672981,"LOREAL01G",0.2773347396,"OK"
"TSHD2026030900040200","LOREAL01H",0.2896412037,"C0000001H",0.5233986928,"OK"
"TSHD2026022800042710","LOREAL04H",0.3848961399,"C0000006H",0.5560627943,"OK"
"TSHE2026030800195442","LRLC0003W",0.2831684351,"LOREAL17H",0.2076472988,"OK"
"TSHE2026030800098273","LRLC0003W",0.1587439614,"LOREAL01G",0.2662268519,"OK"
"TSHE2026031100034631","LOREAL03H",0.3536254487,"LOREAL03G",0.3536254487,"OK"
"TSHD2026030900099168","LOREAL01H",0.1560000000,"C0000001H",0.2819011765,"OK"
"TSHD2026030500040203","LRLC0003W",0.1978047360,"C0000001H",0.5994647059,"OK"
"TSHD2026030300059444","LRLC0003W",0.1183574879,"C0000001H",0.3586928105,"OK"
"TSHD2026030500033077","LOREAL03H",0.3610733654,"LOREAL03G",0.3610733654,"OK"
"TSHD2026030500019266","LOREAL03H",0.3851115385,"LOREAL03G",0.3851115385,"OK"
"TSHD2026030700059062","LRLC0003W",0.1978047360,"C0000001H",0.5994647059,"OK"
"TSHE2026030500268135","C0000011W",0.4994350890,"C0000011W",0.4994350890,"OK"
"TSHE2026030100089368","LRLC0003W",0.4190144928,"LOREAL02L",0.4713913043,"OK"
"TSHD2026022800010508","LOREAL04H",0.3745015432,"C0000006H",0.5410456302,"OK"
"TSHD2026030800047902","LRLC0003W",0.2751253278,"LOREAL01G",0.4614081019,"OK"
"TSHD2026030400056657","LRLC0003W",0.5561076605,"LOREAL02L",0.6256211180,"OK"
"TSHE2026030400112766","LOREAL03H",0.5689354968,"LOREAL03G",0.5689354968,"OK"
"TSHD2026030400023391","LRLC0003W",0.3328853951,"LOREAL02L",0.3744960695,"OK"
"TSHE2026030200030892","C0000009W",0.2932024777,"LRLF0005L",0.5450888775,"OK"
"TSHD2026030200027574","LRLC0003W",0.1552795031,"LOREAL01G",0.2604166667,"OK"
"TSHE2026030500163335","C0000009W",0.2375127449,"C0000011W",0.5126556931,"OK"
"TSHD2026022800093601","LOREAL03H",0.1503527244,"LOREAL02L",0.3642084627,"OK"
"TSHE2026030400049452","C0000011W",0.4994350890,"C0000011W",0.4994350890,"OK"
"TSHE2026030200037254","C0000009W",0.3551121181,"LOREAL04G",0.7482088477,"OK"
"TSHE2026030500289266","LOREAL03H",0.3851115385,"LOREAL03G",0.3851115385,"OK"
"TSHE2026030800292848","LOREAL04H",0.5851279424,"C0000011W",0.5994215564,"OK"
"TSHD2026030600023478","LRLC0003W",0.2629844720,"LRLC0003W",0.2629844720,"OK"
"TSHD2026030400033270","LRLC0003W",0.2459862664,"LOREAL01G",0.4125394676,"OK"
"TSHD2026030800061651","LRLC0003W",0.1328385956,"LOREAL01G",0.2227813947,"OK"
"TSHD2026030600095760","C0000011W",0.3406734878,"C0000011W",0.3406734878,"OK"
"TSHE2026030100122365","LOREAL04H",0.3269067078,"LOREAL03G",0.5092200641,"OK"
"TSHE2026030700146553","LOREAL03H",0.1315099559,"LOREAL17H",0.2076472988,"OK"
"TSHD2026030900033893","LOREAL03H",0.3536254487,"LOREAL03G",0.3536254487,"OK"
"TSHE2026031000047146","LOREAL03H",0.1315099559,"LOREAL17H",0.2076472988,"OK"
"TSHD2026030600071476","C0000011W",0.5036814071,"C0000011W",0.5036814071,"OK"
"TSHD2026030900097831","LOREAL03H",0.0981871795,"LOREAL17H",0.1550323887,"OK"
"TSHD2026030700066959","LRLC0003W",0.1653672981,"LOREAL01G",0.2773347396,"OK"
"TSHD2026030900084498","LOREAL04H",0.4405183128,"C0000006H",0.6364206302,"OK"
"TSHD2026030200076843","LOREAL04H",0.4618703704,"C0000007H",0.5450591878,"OK"
"TSHE2026030100032036","LOREAL03H",0.0633939704,"LOREAL17H",0.1000957427,"OK"
"TSHE2026030600019734","LRLC0003W",0.4130503796,"LOREAL02L",0.4646816770,"OK"
"TSHE2026030500114826","C0000009W",0.2932024777,"LRLF0005L",0.5450888775,"OK"
"TSHD2026022500046546","LOREAL04H",0.4437812757,"LOREAL03G",0.6912746795,"OK"
"TSHE2026030800103889","LRLC0003W",0.2102398206,"C0000001H",0.6371503268,"OK"
"TSHE2026030300073213","C0000011W",0.3964916496,"LOREAL03G",0.6028846154,"OK"
"TSHD2026030100028142","C0000009W",0.3751963469,"LOREAL04G",0.7905256173,"OK"
"TSHE2026030800091144","LOREAL04H",0.5293280864,"C0000007H",0.6246669095,"OK"
"TSHD2026022700021530","C0000011W",0.4994350890,"C0000011W",0.4994350890,"OK"
"TSHD2026030700039732","C0000011W",0.0000000000,"C0000001H",0.0000000000,"OK"
"TSHD2026030800114117","LRLC0003W",0.2330001484,"LOREAL02L",0.2621251669,"OK"
"TSHE2026030400109803","LOREAL03H",0.5689354968,"LOREAL03G",0.5689354968,"OK"
"TSHD2026030300068918","LOREAL04H",0.4618703704,"C0000007H",0.5450591878,"OK"
"TSHD2026031000003396","LOREAL03H",0.1987483774,"LOREAL03G",0.1987483774,"OK"
"TSHD2026030700037716","LOREAL04H",0.2318001852,"LOREAL03G",0.3610733654,"OK"
"TSHD2026030900017807","LRLC0003W",0.1978047360,"C0000001H",0.5994647059,"OK"
"TSHE2026030700198529","LRLC0003W",0.6533954451,"LOREAL02G",0.5880559006,"OK"
"TSHD2026022500046273","LOREAL03H",0.1314922772,"LOREAL01G",0.4748332234,"OK"
"TSHD2026022800089635","C0000009W",0.2596732796,"C0000006H",0.7904326877,"OK"
"TSHE2026030100057584","C0000009W",0.3551121181,"LOREAL04G",0.7482088477,"OK"
"TSHD2026022500046055","LOREAL04H",0.4437812757,"LOREAL03G",0.6912746795,"OK"
"TSHD2026030300006930","LOREAL06H",0.2857930373,"C0000007H",0.7969519189,"OK"
"TSHD2026030800043559","LRLC0003W",0.1591692547,"LOREAL02L",0.1790654115,"OK"
"TSHE2026030600120874","C0000011W",0.5563572514,"LOREAL05G",0.3852605459,"OK"
"TSHD2026031000030770","C0000011W",0.0563935775,"C0000001H",0.5595552105,"OK"
"TSHE2026030800046093","LRLC0003W",0.2831684351,"LOREAL17H",0.2076472988,"OK"
"TSHD2026030300059319","LRLC0003W",0.4958771567,"LRLC0003W",0.4958771567,"OK"
"TSHD2026030600083298","LOREAL01H",0.2325614873,"LOREAL01G",0.2325614873,"OK"
"TSHE2026030500158324","C0000011W",0.4994350890,"C0000011W",0.4994350890,"OK"
"TSHD2026030300076267","LOREAL03H",0.0981871795,"LOREAL17H",0.1550323887,"OK"
"TSHE2026030200063602","LRLC0003W",0.1523390269,"C0000001H",0.4616768627,"OK"
"TSHD2026030200080433","LRLC0003W",0.3086086957,"LRLC0003W",0.3086086957,"OK"
"TSHE2026030800250444","LRLC0003W",0.1083933851,"LOREAL01G",0.1817847396,"OK"
"TSHD2026022500047268","LOREAL04H",0.3327413333,"LOREAL03G",0.5183086154,"OK"
"TSHD2026022500046515","LOREAL03H",0.1314922772,"LOREAL01G",0.4748332234,"OK"
"TSHD2026022600122812","LOREAL03H",0.1314922772,"LOREAL01G",0.4748332234,"OK"
"TSHE2026030500154167","LRLC0003W",0.1083933851,"LOREAL01G",0.1817847396,"OK"
"TSHD2026022600103841","LOREAL03H",0.1983844151,"LOREAL17H",0.3132385501,"OK"
"TSHE2026030100119066","LOREAL04H",0.4004663786,"C0000006H",0.5785572533,"OK"
"TSHD2026022500046861","LOREAL04H",0.3848961399,"C0000006H",0.5560627943,"OK"
"TSHD2026022800068445","C0000010H",0.5151764880,"LOREAL08L",0.6911581117,"OK"
"TSHD2026022500046644","LOREAL04H",0.3327413333,"LOREAL03G",0.5183086154,"OK"
"TSHE2026030500184675","LRLC0003W",0.4130503796,"LOREAL02L",0.4646816770,"OK"
"TSHE2026030700198173","LOREAL03H",0.1679425080,"LOREAL17H",0.2651723811,"OK"
"TSHE2026030500203696","C0000011W",0.4994350890,"C0000011W",0.4994350890,"OK"
"TSHD2026030500078166","LOREAL01H",0.0191250000,"C0000001H",0.0345600000,"OK"
"TSHD2026030900023176","C0000011W",0.1787655008,"LOREAL17H",0.4291919028,"OK"
"TSHD2026030500019612","C0000011W",0.6499375014,"LRLF0005L",0.5597993827,"OK"
"TSHD2026022500047041","LOREAL03H",0.1314922772,"LOREAL01G",0.4748332234,"OK"
"TSHD2026030100030266","LOREAL03H",0.1535578526,"LOREAL02L",0.3719724379,"OK"
"TSHE2026030600006727","LOREAL03H",0.1415887037,"LOREAL02L",0.3429788474,"OK"
"TSHE2026030300038707","LOREAL04H",0.4852400412,"C0000011W",0.4970935750,"OK"
"TSHD2026030400008246","LOREAL03H",0.0981871795,"LOREAL17H",0.1550323887,"OK"
"TSHD2026030100043488","C0000009W",0.2346807700,"C0000011W",0.5065430608,"OK"
"TSHD2026030500054592","LOREAL03H",0.1459647436,"LOREAL02L",0.3535791925,"OK"
"TSHD2026030600083050","LRLC0003W",0.3806349206,"LOREAL02L",0.4282142857,"OK"
"TSHD2026031100009432","LOREAL01H",0.1102500000,"C0000001H",0.1992282353,"OK"
"TSHD2026030900090233","LOREAL04H",0.4405183128,"C0000006H",0.6364206302,"OK"
"TSHD2026022800094318","LOREAL01H",0.1808101852,"C0000001H",0.3267346405,"OK"
"TSHE2026030500151749","C0000011W",0.4994350890,"C0000011W",0.4994350890,"OK"
"TSHD2026030800103188","C0000009W",0.2639442832,"LRLF0005L",0.4906953522,"OK"
"TSHD2026030700092662","LRLC0003W",0.1653672981,"LOREAL01G",0.2773347396,"OK"
"TSHD2026030300067698","LRLC0003W",0.4958771567,"LRLC0003W",0.4958771567,"OK"
"TSHD2026022700019228","C0000009W",0.3288168123,"C0000007H",0.8175887816,"OK"
"TSHE2026030700009182","LRLC0003W",0.2831684351,"LOREAL17H",0.2076472988,"OK"
"TSHD2026030300029619","C0000009W",0.3123893264,"LOREAL18H",0.4074021715,"OK"
"TSHE2026030800049771","LRLC0003W",0.4130503796,"LOREAL02L",0.4646816770,"OK"
"TSHD2026030500012826","LOREAL04H",0.3923904321,"C0000007H",0.4630650155,"OK"
"TSHD2026031000049730","C0000009W",0.3169689831,"LOREAL18H",0.4133747254,"OK"
"TSHE2026030200053205","LRLC0003W",0.2249561767,"LOREAL01G",0.3772702546,"OK"
"TSHE2026030500249183","C0000011W",0.4994350890,"C0000011W",0.4994350890,"OK"
"TSHD2026030500084580","LOREAL04H",0.4566453333,"C0000006H",0.6597194768,"OK"
"TSHE2026030800237105","C0000011W",0.4994350890,"C0000011W",0.4994350890,"OK"
"TSHE2026030100071664","LRLC0003W",0.5388447205,"LOREAL02L",0.6062003106,"OK"
"TSHD2026030400029678","C0000011W",0.4994350890,"C0000011W",0.4994350890,"OK"
