item-id,length,width,height
25327210T,0,0,0
25327110,0,0,0
25326810T,0,0,0
25327210,0,0,0
25327210E,0,0,0
25327310T,0,0,0
25328610T,0,0,0
25326910T,0,0,0
25327310,0,0,0
25328610,0,0,0
25327110T,0,0,0
25328710E,0,0,0
25328710,0,0,0
25328710T,0,0,0
25328610E,0,0,0
25328810E,0,0,0
25328810,0,0,0
25328910T,0,0,0
25328610D,0,0,0
25329010T,0,0,0
25328910E,0,0,0
25329110T,0,0,0
25328810T,0,0,0
25328910,0,0,0
25329310,0,0,0
25329010E,0,0,0
25329110,0,0,0
25329010,0,0,0
25329210E,0,0,0
25329110E,0,0,0
25329410E,0,0,0
25329310E,0,0,0
25329210T,0,0,0
25329510E,0,0,0
25329210,0,0,0
25329510,0,0,0
25329410,0,0,0
25329710T,0,0,0
25329410T,0,0,0
25329710E,0,0,0
25329710,0,0,0
25329810,0,0,0
25330010T,0,0,0
25329810E,0,0,0
25329810T,0,0,0
25329510T,0,0,0
25329310T,0,0,0
25330110,0,0,0
25330210,0,0,0
25330210E,0,0,0
25330110E,0,0,0
25644910,0,0,0
25330010,0,0,0
25444610E,0,0,0
25644610,0,0,0
25330010E,0,0,0
25330210T,0,0,0
25444610T,0,0,0
25330110T,0,0,0
25761010,0,0,0
25761010T,0,0,0
25904110,0,0,0
25904010M,0,0,0
25761110T,0,0,0
25444610,0,0,0
25706310,0,0,0
25761110,0,0,0
25904210M,0,0,0
25904410,0,0,0
25904210,0,0,0
25904610P,0,0,0
25761110D,0,0,0
25904410M,0,0,0
25904310,0,0,0
25904310T,0,0,0
25904610E,0,0,0
25904610,0,0,0
25908710T,0,0,0
25908610,0,0,0
25909010,0,0,0
25904410T,0,0,0
25904610T,0,0,0
25908710M,0,0,0
25909110,0,0,0
25908710,0,0,0
25908810,0,0,0
25909110E,0,0,0
25909710M,0,0,0
25908710E,0,0,0
25908910,0,0,0
25909010M,0,0,0
25909810E,0,0,0
25909810P,0,0,0
25909810,0,0,0
25909110T,0,0,0
25909910E,0,0,0
25908910M,0,0,0
25909910,0,0,0
25909710,0,0,0
25909810T,0,0,0
25910310T,0,0,0
25909910T,0,0,0
25910610E,0,0,0
25910410,0,0,0
25909910P,0,0,0
25909710T,0,0,0
25909910M,0,0,0
25910310,0,0,0
25910310E,0,0,0
